통계표,계정항목,지역코드,단위,변환,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","전국","십억원","원자료","463,841.6","462,261.1","462,379.7","463,320.4","465,923.5","470,650.1","470,745.8","472,589.1","472,739.5","475,202.5","478,229.9","481,131.3","478,516.4","480,357.0","481,280.5","484,084.2","486,034.3","489,581.6","492,618.6","497,639.4","501,922.8","508,290.8","514,241.8","519,636.8","520,054.3","523,445.6","527,436.2","536,171.1","537,792.3","527,229.6","528,315.2","536,144.6","541,547.6","550,156.7","556,491.8","563,727.8","564,643.7","565,824.6","569,313.2","573,976.1","580,526.9","586,682.0","591,874.6","599,211.8","603,924.0","609,446.9","616,512.9","617,420.3","615,331.5","616,574.5","618,472.4","621,098.2","625,663.6","630,477.2","635,026.2","640,923.0","645,459.2","651,249.3","657,251.6","660,677.8","662,924.0","665,133.2","668,858.6","673,131.6","677,460.0","681,706.3","685,639.9","691,369.4","695,920.8","702,490.3","708,809.7","713,084.9","713,743.0","716,032.7","718,745.2","722,700.1","727,411.6","732,050.7","738,213.3","745,805.3","750,704.1","758,262.3","764,609.8","767,718.8","768,736.4","772,063.2","780,604.9","785,729.9","789,444.8","794,967.3","800,828.5","811,881.2","820,959.0","830,864.1","843,887.8","849,869.4","856,522.3","863,052.5","868,519.9","881,386.1","877,599.4","880,906.2","889,869.0","895,458.4","901,963.8","907,394.6","910,489.9","910,104.9","909,297.2","908,074.0","905,600.2","906,130.3","905,727.1","905,484.4","904,032.0","903,809.1","902,946.1","902,667.0","902,097.8","902,574.8","898,174.1","895,253.1","890,451.5","888,629.2","891,028.1","894,500.1","898,219.0","901,841.1","904,548.2","909,710.1","914,209.6","915,958.7","919,685.2","921,520.3","919,202.8","924,583.8","930,889.4","936,505.0","942,675.3","952,792.7","959,175.6","962,163.6","965,184.3","966,097.2"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","서울","십억원","원자료","175,082.3","174,498.2","174,200.7","174,637.3","175,390.8","176,288.1","176,455.3","177,067.0","176,907.9","177,635.8","178,360.5","178,680.9","177,913.1","179,093.7","179,429.8","179,265.7","179,632.0","180,580.6","181,694.5","182,838.9","184,249.7","186,206.2","188,203.4","189,680.1","189,694.1","190,796.3","192,721.8","195,837.1","196,106.9","193,178.7","193,915.1","196,322.4","198,213.4","201,129.3","203,049.1","205,092.6","205,296.8","205,957.0","206,806.4","207,808.2","209,930.0","211,880.7","213,391.0","216,015.0","217,478.3","219,312.8","221,987.3","221,765.7","220,821.5","220,672.7","220,617.9","221,426.6","222,927.3","224,768.7","227,469.9","230,997.6","232,271.1","234,410.7","237,018.3","238,196.5","239,190.4","239,632.9","241,036.3","242,900.6","244,660.4","245,744.6","247,169.5","249,245.6","251,547.8","254,393.4","256,775.7","257,626.8","256,885.8","257,365.0","258,154.6","259,680.8","261,748.6","263,417.0","265,963.2","269,423.7","271,268.1","274,102.3","276,243.6","277,978.7","278,623.0","280,797.6","284,821.7","286,316.8","288,171.8","290,795.0","293,846.6","298,771.6","303,023.1","307,478.0","312,736.3","314,963.4","318,912.2","321,493.4","324,146.7","332,640.9","330,308.3","332,139.4","338,603.0","340,884.3","343,981.5","346,925.1","349,359.1","349,914.7","349,757.8","353,496.4","352,801.2","353,689.7","353,971.6","354,430.4","353,800.7","353,680.2","353,476.6","352,820.6","351,870.3","350,068.9","346,883.5","345,205.8","343,333.4","344,046.9","345,029.8","346,319.9","347,881.8","349,838.1","350,694.1","352,826.1","354,988.2","355,469.3","357,452.4","359,040.5","358,349.6","360,177.7","362,744.0","364,805.7","366,939.6","370,964.2","373,053.4","374,476.5","375,705.4","375,456.3"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","부산","십억원","원자료","27,971.2","27,967.7","28,076.1","28,196.3","28,434.5","28,873.2","28,914.3","29,077.2","29,003.7","29,183.3","29,409.5","29,626.3","29,530.5","29,468.6","29,555.4","29,721.4","29,879.2","30,216.2","30,398.7","30,576.7","30,882.2","31,454.4","31,886.6","32,305.3","32,299.1","32,633.0","32,808.3","33,442.1","33,676.4","33,106.7","33,229.9","33,764.7","34,125.2","34,759.1","35,264.9","35,897.3","35,837.4","35,806.5","36,061.2","36,616.6","37,218.3","37,720.2","38,082.4","38,613.0","38,969.0","39,504.0","40,022.6","40,196.0","40,241.9","40,715.2","40,968.2","41,241.8","41,713.5","42,243.6","42,641.9","43,044.7","43,265.8","43,856.0","44,283.9","44,573.6","44,865.2","45,176.2","45,427.4","45,556.6","46,059.8","46,636.9","46,790.9","47,298.0","47,656.8","48,152.9","48,786.8","49,111.2","49,097.1","49,276.9","49,410.5","49,647.3","49,770.9","50,101.0","50,412.7","51,047.9","51,390.1","51,796.7","52,342.4","52,611.7","52,570.7","52,651.5","53,216.4","53,332.4","53,230.8","53,511.9","53,962.5","54,711.2","55,600.1","56,403.9","57,702.9","58,433.2","58,955.2","59,541.9","59,880.1","60,282.4","60,441.1","60,540.4","60,943.3","61,249.8","61,587.5","62,008.0","62,003.0","61,904.2","61,646.3","61,389.2","61,171.2","61,275.6","61,117.8","61,408.3","61,294.4","61,277.0","61,156.8","61,100.6","61,281.0","61,668.1","61,562.4","61,628.1","61,260.8","61,084.9","61,005.7","60,988.6","61,526.7","61,608.9","62,032.2","62,421.1","62,384.4","62,562.7","62,850.3","62,879.8","62,914.1","63,287.9","63,611.7","63,607.3","63,904.8","64,551.7","65,142.3","65,402.4","65,461.3","65,518.2"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","대구","십억원","원자료","14,992.9","14,913.1","15,008.2","15,121.9","15,188.9","15,480.5","15,478.5","15,582.2","15,680.9","15,770.6","15,923.3","16,229.4","16,085.5","16,204.5","16,322.9","16,535.0","16,623.7","16,901.8","17,211.7","17,596.3","18,016.8","18,494.2","18,891.2","19,301.2","19,492.4","19,881.9","20,191.9","20,701.6","21,090.8","21,409.0","21,658.6","22,212.9","22,430.0","22,979.3","23,227.9","23,623.3","23,779.5","23,838.0","23,972.3","24,160.8","24,450.3","24,672.1","24,699.0","24,897.1","25,091.9","25,258.6","25,444.2","25,414.4","25,204.2","25,231.7","25,229.7","25,355.7","25,476.8","25,426.6","25,478.4","25,488.5","25,491.4","25,578.6","25,794.2","25,872.7","25,985.0","25,962.7","25,988.6","26,030.2","26,039.0","26,213.0","26,225.2","26,507.8","26,575.6","26,900.1","27,083.7","27,369.6","27,616.4","27,752.0","27,914.9","27,962.5","28,157.0","28,416.3","28,643.6","29,045.0","29,474.1","29,933.6","30,180.9","30,471.1","30,811.4","30,977.1","31,250.1","31,498.9","31,709.0","32,161.2","32,346.5","32,710.5","33,183.1","33,764.5","34,745.6","34,974.2","35,544.9","35,968.1","36,296.0","36,866.6","36,897.4","37,387.9","37,875.7","38,215.9","38,474.6","38,734.1","38,820.3","38,845.1","38,913.1","38,846.3","38,771.6","38,720.5","38,741.9","38,632.6","38,766.7","38,938.7","39,011.5","39,161.6","39,278.1","39,623.3","39,627.5","39,669.0","39,528.8","39,348.2","39,708.5","40,158.8","40,630.0","40,794.0","40,999.4","41,139.4","41,506.3","41,531.0","41,610.2","41,634.6","41,618.4","41,891.5","42,177.0","42,225.7","42,324.2","42,546.2","42,807.4","43,010.4","43,130.3","43,052.2"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","인천","십억원","원자료","31,008.2","30,771.6","30,853.3","30,796.9","30,970.2","31,037.6","30,881.1","30,799.5","30,734.9","30,692.3","30,852.5","30,950.9","30,860.1","30,740.6","30,651.2","30,617.0","30,743.4","30,832.8","30,913.1","31,227.0","31,498.9","31,780.9","32,081.0","32,443.4","32,433.5","32,523.6","32,538.7","32,975.5","32,884.5","31,432.4","31,229.2","31,696.2","32,098.8","32,517.3","32,799.4","33,087.2","33,044.5","32,967.5","33,117.0","33,444.5","33,827.6","34,177.1","34,768.6","35,380.9","35,744.6","36,023.6","36,378.6","36,471.8","36,128.2","36,253.3","36,486.1","36,716.8","37,173.4","37,356.2","37,768.6","38,067.3","38,710.9","39,094.6","39,330.7","39,555.5","39,605.2","39,725.2","39,920.7","40,064.1","40,354.9","40,482.7","40,799.1","41,035.7","41,064.8","41,290.4","41,801.5","42,339.4","42,503.6","42,695.7","42,855.1","43,143.2","43,767.6","44,081.9","44,537.9","44,874.5","45,224.4","45,612.0","45,972.4","46,031.8","45,905.4","45,866.4","46,234.9","46,584.6","46,902.7","47,035.9","47,268.3","48,003.3","48,320.7","48,693.3","49,216.3","49,449.8","49,925.7","50,047.5","50,333.9","50,709.0","50,678.8","50,911.4","51,267.3","51,741.8","52,208.9","52,511.4","52,842.0","52,889.1","52,698.6","52,307.7","52,133.4","52,257.2","52,365.0","52,488.5","52,630.5","52,840.5","53,088.6","53,332.2","53,292.7","53,480.8","53,501.2","53,190.4","53,438.1","53,154.8","53,361.9","53,506.1","53,511.7","53,554.8","53,739.0","54,264.7","54,772.5","54,997.4","55,070.8","55,035.2","55,084.4","55,321.8","55,644.9","56,065.3","56,314.1","56,528.9","56,855.9","56,864.9","56,922.9","56,965.0"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","광주","십억원","원자료","7,925.2","7,966.8","8,031.3","8,034.9","8,197.4","8,294.6","8,336.7","8,474.3","8,496.3","8,463.1","8,647.3","8,870.2","8,619.3","8,575.5","8,545.3","8,585.4","8,573.0","8,636.1","8,717.9","8,753.8","8,901.8","9,019.3","9,166.6","9,342.2","9,348.4","9,459.1","9,537.8","9,783.7","9,852.1","9,932.1","9,879.8","10,001.0","10,105.7","10,390.3","10,566.9","10,784.5","10,782.1","10,791.8","10,833.9","10,998.8","11,116.8","11,245.3","11,388.1","11,515.9","11,578.4","11,614.1","11,734.3","11,840.6","11,664.6","11,616.7","11,686.2","11,671.8","11,756.4","11,746.7","11,776.9","11,891.1","12,002.6","12,111.1","12,314.0","12,450.3","12,609.0","12,682.2","12,842.9","12,997.5","13,178.3","13,222.1","13,375.3","13,650.0","13,807.0","14,018.0","14,253.8","14,401.7","14,447.3","14,579.2","14,753.3","14,887.3","14,991.0","15,131.9","15,357.1","15,542.8","15,752.0","16,099.5","16,338.1","16,516.7","16,581.6","16,454.6","16,623.4","16,894.5","17,184.6","17,234.9","17,599.3","17,745.7","17,963.9","18,100.0","18,497.5","18,648.3","18,851.4","19,015.0","19,106.1","19,357.4","19,357.9","19,388.6","19,742.1","19,872.2","20,091.8","20,134.5","20,219.6","20,313.1","20,409.0","20,154.8","20,192.4","20,137.9","20,120.2","20,046.3","19,978.0","19,874.9","19,839.3","19,918.1","19,947.7","19,938.6","19,930.0","19,689.9","19,607.0","19,628.6","19,655.9","19,653.3","19,661.7","19,808.0","20,037.7","20,276.4","20,432.5","20,506.7","20,801.5","20,820.2","20,834.3","21,075.8","21,294.3","21,481.2","21,542.3","21,782.7","21,724.3","21,539.5","21,636.4","21,769.9"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","대전","십억원","원자료","11,402.1","11,471.3","11,530.2","11,604.4","11,732.0","11,978.4","11,973.8","12,013.6","12,096.6","12,154.6","12,296.9","12,347.7","12,241.4","12,293.4","12,316.2","12,316.5","12,341.5","12,481.9","12,543.5","12,617.3","12,680.1","12,781.5","12,850.9","12,925.3","12,895.1","12,947.4","13,040.8","13,273.9","13,244.3","12,785.2","12,754.7","13,087.3","13,008.3","13,223.3","13,293.6","13,429.1","13,426.8","13,367.5","13,492.8","13,481.0","13,607.5","13,759.4","13,926.6","14,013.6","14,048.2","14,188.7","14,406.9","14,374.9","14,318.2","14,361.8","14,387.5","14,310.3","14,476.8","14,560.6","14,648.5","14,713.5","14,871.7","15,045.5","15,141.7","15,160.6","15,279.1","15,267.1","15,266.3","15,292.6","15,360.3","15,448.3","15,563.4","15,699.9","15,748.8","15,805.1","15,899.4","16,069.5","16,097.6","16,089.4","16,104.7","16,183.7","16,261.1","16,311.0","16,432.3","16,589.0","16,809.6","16,987.4","17,196.3","17,358.2","17,378.2","17,547.9","17,567.7","17,747.1","17,779.4","17,920.4","18,163.4","18,368.5","18,631.2","18,939.5","19,253.0","19,380.7","19,490.9","19,686.5","19,705.7","19,973.0","19,938.5","20,021.0","20,036.5","20,196.7","20,306.1","20,369.2","20,111.1","20,020.9","20,167.1","19,941.7","19,861.2","19,525.0","19,467.6","19,283.9","19,210.6","19,080.3","19,047.3","19,040.6","19,027.4","18,959.4","18,835.7","18,812.7","18,671.3","18,626.4","18,695.4","18,727.2","18,793.8","18,894.6","18,937.6","19,186.9","19,102.1","19,149.5","19,119.7","19,430.3","19,422.4","19,450.3","19,526.5","19,761.0","19,948.6","20,304.4","20,652.1","20,849.0","21,077.7","21,291.9"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","울산","십억원","원자료","6,692.1","6,690.3","6,716.8","6,801.2","6,980.6","7,093.2","7,137.5","7,191.3","7,198.0","7,293.2","7,387.5","7,363.1","7,327.4","7,384.9","7,399.5","7,500.0","7,631.7","7,782.2","7,859.0","8,001.5","8,140.3","8,275.1","8,433.1","8,530.9","8,543.8","8,641.0","8,717.8","8,973.1","9,040.2","8,882.2","8,980.7","9,245.6","9,335.6","9,455.9","9,584.7","9,738.2","9,702.2","9,710.1","9,867.9","10,033.8","10,165.1","10,250.3","10,357.5","10,503.8","10,691.2","10,752.4","10,824.5","10,824.9","10,827.3","10,955.3","11,016.4","11,097.3","11,314.0","11,431.2","11,601.2","11,735.0","11,713.4","11,816.3","11,821.8","11,870.7","11,778.8","11,772.9","11,763.4","11,791.2","11,821.6","11,877.8","11,902.7","11,924.9","11,905.2","11,920.9","11,942.6","11,922.5","11,944.5","11,961.6","11,983.8","11,980.4","12,009.0","11,983.4","12,051.2","12,059.0","12,022.4","12,067.9","12,148.2","12,097.2","12,072.8","12,009.9","12,099.2","12,191.4","12,187.5","12,219.4","12,232.1","12,344.3","12,428.5","12,579.1","12,720.9","12,778.6","12,820.1","12,987.8","12,987.0","13,037.8","13,067.6","13,024.0","13,071.7","13,081.7","13,104.9","13,242.9","13,249.3","13,218.3","13,107.5","12,995.0","13,063.3","13,011.6","12,983.3","12,921.9","12,898.3","12,833.7","12,740.9","12,680.6","12,765.8","12,763.3","12,704.1","12,656.4","12,466.9","12,432.2","12,329.9","12,378.4","12,470.3","12,540.0","12,619.5","12,758.9","12,821.3","12,843.2","12,878.2","12,808.0","12,759.6","12,837.2","12,919.9","13,143.6","13,231.5","13,380.5","13,451.5","13,527.7","13,637.1","13,662.2"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","경기","십억원","원자료","126,457.7","125,820.4","125,583.2","125,227.1","125,450.2","126,653.6","126,450.2","126,563.9","126,667.1","127,150.2","127,674.8","128,409.1","127,714.7","127,878.3","128,044.2","129,924.6","130,302.6","131,095.7","131,591.3","133,276.8","133,947.3","135,539.0","136,539.0","137,576.7","137,679.2","138,443.2","138,977.6","140,853.5","140,679.4","135,827.5","135,623.3","137,342.2","138,884.8","141,012.1","142,615.1","144,441.5","144,979.6","145,563.1","146,658.7","147,956.7","149,481.3","151,161.4","152,392.1","154,007.4","155,210.0","156,637.3","158,254.7","158,747.5","158,405.7","158,830.1","159,605.7","160,514.8","161,516.8","162,794.0","163,123.2","164,138.4","166,147.0","167,300.3","168,543.4","169,610.7","170,095.7","171,084.9","172,451.0","173,613.2","174,531.2","175,930.4","177,175.0","178,601.2","180,046.4","181,557.7","183,121.7","184,381.2","185,180.9","185,922.4","187,011.5","188,351.0","189,603.2","191,356.4","192,939.6","194,648.0","195,788.3","197,656.6","198,992.9","199,528.2","199,994.5","201,030.8","203,390.4","205,342.7","206,138.3","207,504.5","208,595.8","211,480.3","213,092.4","215,112.5","217,504.7","218,761.3","219,143.8","220,583.6","221,833.9","223,591.4","222,572.1","222,988.7","223,491.4","224,751.7","226,239.3","227,212.3","227,831.7","227,468.2","227,174.1","224,385.5","223,669.8","223,582.0","223,059.4","223,002.4","222,662.0","222,375.6","222,060.5","221,681.2","221,622.4","222,624.7","222,340.8","222,429.6","221,014.7","220,205.5","220,717.8","221,861.8","222,279.8","222,444.9","222,660.2","223,225.8","224,417.7","224,765.0","225,003.4","225,115.1","224,599.2","225,968.2","227,243.7","228,607.5","230,334.1","233,127.6","235,446.3","236,139.8","236,948.7","237,438.0"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","강원","십억원","원자료","5,776.9","5,759.6","5,744.1","5,792.2","5,848.4","5,994.6","5,986.8","6,039.4","6,047.8","6,071.0","6,112.1","6,241.2","6,184.9","6,226.9","6,219.5","6,192.9","6,214.3","6,247.1","6,281.8","6,291.5","6,291.2","6,329.2","6,365.8","6,430.0","6,395.9","6,411.1","6,403.6","6,499.2","6,546.4","6,406.6","6,351.9","6,446.4","6,470.2","6,539.3","6,621.6","6,690.6","6,685.3","6,641.4","6,689.4","6,729.2","6,804.6","6,882.5","6,954.7","7,061.4","7,113.0","7,179.9","7,266.5","7,292.6","7,233.2","7,241.5","7,293.4","7,354.7","7,428.7","7,529.3","7,616.7","7,757.3","7,775.7","7,877.7","8,082.5","8,167.8","8,211.0","8,231.1","8,251.7","8,387.6","8,524.2","8,596.0","8,668.2","8,777.6","8,820.8","8,904.5","9,012.1","9,213.6","9,303.2","9,332.9","9,423.2","9,552.5","9,561.7","9,603.1","9,656.2","9,810.6","9,840.2","9,907.7","10,099.8","10,063.8","10,096.6","10,125.4","10,198.1","10,236.7","10,245.2","10,301.4","10,268.9","10,261.2","10,387.6","10,470.5","10,581.6","10,595.5","10,639.2","10,726.3","10,719.1","10,776.5","10,707.8","10,715.8","10,664.1","10,688.2","10,733.0","10,777.4","10,838.9","10,833.4","10,935.5","10,828.9","10,787.7","10,795.4","10,773.3","10,745.9","10,680.9","10,715.1","10,677.0","10,682.7","10,713.9","10,765.6","10,774.6","10,680.9","10,520.9","10,531.9","10,600.0","10,649.4","10,794.1","10,853.1","10,892.0","10,969.4","10,952.3","10,993.9","11,093.4","11,063.2","10,957.4","10,990.2","11,110.3","11,208.2","11,341.3","11,428.1","11,440.5","11,495.6","11,441.0","11,441.8"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","충북","십억원","원자료","6,409.1","6,369.7","6,326.8","6,424.0","6,471.8","6,495.4","6,449.0","6,480.9","6,475.5","6,578.7","6,635.4","6,740.6","6,681.0","6,725.7","6,785.5","6,830.3","6,833.9","6,922.6","7,003.9","7,139.3","7,244.2","7,347.2","7,508.1","7,717.1","7,808.3","7,897.6","7,962.4","8,122.7","8,181.5","8,055.8","8,033.3","8,182.6","8,267.4","8,453.0","8,543.1","8,632.1","8,498.7","8,514.4","8,557.2","8,659.1","8,796.3","8,901.7","8,891.9","8,950.6","8,975.3","9,018.7","9,151.2","9,092.0","9,082.6","9,048.3","9,054.7","9,025.8","9,043.8","9,103.9","9,058.0","9,074.5","9,100.8","9,223.3","9,281.6","9,362.6","9,423.3","9,497.6","9,568.9","9,617.9","9,697.8","9,721.2","9,701.3","9,703.3","9,729.4","9,883.9","10,042.6","10,144.0","10,166.5","10,123.2","10,081.7","10,054.4","10,040.5","10,000.4","10,073.6","10,278.2","10,352.6","10,538.6","10,651.8","10,573.1","10,486.8","10,351.9","10,467.7","10,497.2","10,473.4","10,534.3","10,501.6","10,522.8","10,659.5","10,674.2","10,869.7","10,911.1","10,992.9","11,074.9","11,095.6","11,162.0","11,067.2","11,105.9","11,056.4","11,041.4","11,138.1","11,191.9","11,259.7","11,242.3","11,261.2","11,129.4","11,094.0","11,041.8","10,920.0","10,758.5","10,741.2","10,704.8","10,660.3","10,697.3","10,765.3","10,830.4","10,781.3","10,686.4","10,584.3","10,330.1","10,399.1","10,557.7","10,713.5","10,910.0","10,980.3","11,093.7","11,243.7","11,284.2","11,334.0","11,347.2","11,297.8","11,465.5","11,593.9","12,067.3","12,211.7","12,297.6","12,351.8","12,379.6","12,537.4","12,724.1"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","충남","십억원","원자료","10,776.8","10,771.9","10,762.7","10,781.6","10,872.2","11,027.4","10,987.3","11,039.2","10,953.0","11,083.0","11,194.7","11,330.0","11,254.5","11,408.4","11,473.5","11,550.4","11,720.3","11,822.0","11,890.6","12,160.2","12,254.2","12,459.7","12,697.8","12,923.9","12,911.2","13,015.3","13,167.1","13,420.5","13,573.7","13,475.2","13,463.7","13,596.6","13,863.9","14,017.5","14,312.2","14,535.5","14,502.8","14,471.8","14,577.3","14,633.7","14,829.5","14,905.3","15,040.6","15,210.8","15,248.2","15,357.4","15,469.0","15,469.8","15,294.1","15,239.1","15,249.4","15,253.7","15,201.9","15,187.5","15,211.0","15,094.8","14,991.2","15,073.9","15,134.9","15,140.5","15,054.2","15,033.3","15,028.0","15,091.9","15,143.8","15,205.8","15,197.6","15,282.8","15,242.4","15,291.6","15,416.0","15,428.9","15,363.5","15,354.0","15,257.3","15,202.2","15,257.3","15,307.3","15,412.3","15,540.6","15,562.6","15,626.1","15,761.6","15,659.5","15,615.1","15,598.0","15,691.4","15,722.5","15,928.5","16,086.4","16,096.7","16,228.6","16,326.0","16,502.9","16,766.2","16,916.0","16,944.6","17,135.6","17,358.0","17,573.1","17,523.2","17,530.4","17,568.3","17,857.2","17,863.4","17,850.5","17,853.2","17,896.6","17,829.3","17,718.4","17,590.8","17,629.8","17,690.4","17,707.4","17,567.7","17,736.1","17,649.7","17,609.7","17,562.9","17,783.3","17,668.7","17,594.7","17,577.6","17,506.4","17,360.4","17,340.8","17,407.3","17,445.4","17,529.1","17,773.5","17,960.0","18,107.4","18,463.7","18,538.7","18,443.4","18,617.2","18,860.2","18,777.5","18,832.8","19,205.4","19,332.3","19,425.4","19,458.0","19,451.6"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","전북","십억원","원자료","7,501.1","7,530.4","7,542.4","7,617.1","7,694.9","7,870.6","7,943.0","8,016.9","8,071.1","8,163.1","8,290.5","8,325.1","8,222.6","8,252.3","8,277.4","8,321.3","8,347.9","8,346.2","8,412.0","8,474.6","8,545.4","8,583.3","8,645.5","8,734.8","8,673.5","8,674.2","8,714.0","8,869.3","8,893.1","8,808.8","8,714.9","8,858.1","8,874.9","8,987.9","9,063.2","9,136.3","9,058.0","9,063.3","9,103.7","9,187.4","9,232.4","9,329.2","9,403.3","9,505.4","9,538.8","9,595.5","9,694.8","9,705.7","9,633.4","9,690.9","9,719.5","9,736.9","9,804.6","9,794.3","9,876.3","10,020.4","10,035.7","10,130.9","10,299.3","10,354.1","10,374.0","10,486.9","10,391.3","10,429.1","10,398.1","10,415.6","10,403.3","10,514.6","10,539.5","10,643.1","10,719.6","10,764.1","10,690.0","10,809.0","10,835.2","10,845.4","10,897.1","10,855.7","10,946.0","10,994.4","11,034.1","11,200.4","11,369.5","11,395.8","11,395.4","11,386.6","11,445.7","11,530.7","11,529.6","11,606.2","11,648.9","11,796.8","11,909.1","12,056.1","12,190.2","12,235.1","12,212.1","12,269.7","12,211.9","12,295.1","12,219.5","12,151.9","12,133.6","12,183.6","12,209.7","12,240.9","12,161.3","12,119.6","12,059.7","11,978.0","11,843.7","11,815.8","11,853.2","11,811.2","11,722.0","11,680.2","11,595.0","11,644.5","11,591.4","11,593.3","11,496.9","11,412.4","11,252.8","11,176.0","11,123.4","11,117.0","11,170.5","11,284.4","11,252.8","11,258.1","11,246.0","11,172.3","11,245.5","11,271.2","11,065.0","11,120.8","11,272.6","11,392.4","11,472.7","11,549.4","11,621.9","11,646.9","11,758.9","11,912.3"
"1.2.3.4.2. 예금은행 지역별 가계대출(말잔)","예금은행","전남","십억원","원자료","5,049.4","5,051.2","5,102.0","5,136.3","5,192.2","5,283.8","5,283.7","5,339.5","5,348.3","5,382.9","5,447.3","5,479.8","5,440.9","5,409.2","5,420.4","5,471.7","5,530.3","5,534.9","5,544.4","5,604.3","5,648.4","5,705.6","5,787.4","5,840.9","5,800.1","5,831.2","5,883.7","5,945.5","5,973.3","5,906.8","5,900.8","6,022.7","6,059.5","6,126.8","6,225.1","6,278.1","6,257.2","6,257.9","6,306.7","6,336.5","6,392.9","6,455.2","6,523.2","6,640.9","6,671.6","6,760.8","6,801.2","6,805.5","6,747.9","6,736.4","6,757.8","6,778.6","6,827.3","6,938.1","6,975.2","7,035.1","7,073.8","7,165.9","7,271.1","7,356.4","7,368.2","7,432.9","7,498.9","7,568.6","7,578.4","7,675.7","7,686.6","7,758.6","7,790.7","7,986.5","8,098.6","8,110.2","8,077.5","8,165.3","8,253.8","8,418.2","8,540.6","8,537.5","8,660.5","8,746.6","8,820.0","8,949.3","9,118.7","9,160.8","9,174.4","9,211.5","9,369.1","9,495.4","9,636.8","9,728.4","9,782.6","9,943.8","10,092.7","10,207.3","10,517.0","10,697.4","10,751.5","10,798.4","10,855.5","11,016.4","10,969.5","10,961.9","11,086.5","11,161.0","11,177.8","11,245.2","11,174.8","11,053.4","11,036.8","10,900.1","10,792.9","10,704.1","10,653.3","10,622.0","10,619.3","10,537.3","10,489.7","10,480.2","10,425.5","10,390.2","10,279.2","10,210.1","10,044.5","9,913.4","9,978.8","9,997.1","10,005.2","10,050.5","10,048.8","10,002.5","9,967.8","9,955.7","9,996.6","9,958.6","9,864.8","9,892.0","9,925.1","10,039.9","10,207.4","10,404.5","10,449.1","10,432.2","10,457.8","10,564.3"
